Compound,TreatmentGroup,P1,P2,P4,P5,P6,P7,P8,meanLog2FC,sdLog2FC,meanFC,p_value_tLOG,fdr_tLOG
TG 48:1,PRED,-0.6233597422926752,-0.5331610422866684,-0.8289241730880762,0.0416962008693477,-1.4573444493577532,2.02472467614331,0.5696209388189436,-0.11524965588479592,1.1413840584386716,-1.083162468703044,0.7982980839514423,0.8767023600538162
TG 48:2,PRED,-0.9187029392657304,-0.664585638599401,-1.0958182184422365,-1.107332223086547,-2.581525331844087,0.5835416511261786,-0.17120205404728012,-0.8508035363084433,0.9729447415707385,-1.8035051418600834,0.05997152175881717,0.16392215947410027
TG 48:3,PRED,-1.4752547734588337,-1.2338954586293547,-1.994623624094317,-1.3841640602955636,-2.0687390388242046,-0.5278944010718937,-1.0701495291057739,-1.393531555068563,0.5328180671876146,-2.627210057311597,4.5081138906375335e-4,0.02314676350436333
TG 50:0,PRED,-0.45142499943950726,0.6881473081466494,-1.0702920620871548,-1.2775611737643437,-1.8586810297961187,1.4048829256800757,-0.42567087687655986,-0.4272285583052799,1.1392202093461645,-1.3446480025271519,0.3594098311599832,0.5491603631388563
TG 50:1,PRED,-0.5893020684056497,-0.6706944481820466,-1.1747420177400885,-1.3918596742235956,-1.98985387458317,0.9634393852774109,-0.9696624835897895,-0.8318107402067041,0.9218654640039744,-1.7799179528439757,0.05422591698100854,0.14988287165537192
TG 50:2,PRED,NA,NA,NA,NA,NA,NA,NA,NaN,NaN,NaN,NA,NA
TG 50:3,PRED,NA,NA,NA,NA,NA,NA,NA,NaN,NaN,NaN,NA,NA
TG 50:4,PRED,-1.7930983369848237,-1.4470296202577593,-2.148750978337902,-1.0826636440905693,-3.0388660521227746,-4.201066157671174,-0.9649792886905176,-2.09663629687936,1.1649070165236795,-4.277109957081934,0.0031202655513335475,0.032696500973048694
TG 51:0,PRED,-0.6768002951968725,0.92744876754791,-1.5520572334586882,-0.6558581262281694,-2.8422966861693117,1.0009896689957034,-0.8703774871277482,-0.666993055948168,1.3466799283570274,-1.587760219558117,0.23798370309955127,0.40939853819922806
TG 51:1,PRED,-0.5858560372146356,-0.7668356968473519,-1.2495781253543665,-0.9199091627404845,-1.4757378656773479,0.3438608858085642,-0.3146936476368125,-0.7098213785232049,0.6065053674321575,-1.6356015991533708,0.02121250017743726,0.08028115451768564
TG 51:2,PRED,-0.6125423410612372,-0.7576138809959304,-1.1514218975047357,-0.9453647434231544,-0.9733657517946009,0.18900666532947966,-1.1161208144534145,-0.7667746805576562,0.4622337071192362,-1.7014617047610456,0.004623503315024163,0.03515391224086781
TG 51:3,PRED,-0.6900402182950613,-0.8676459713821708,-1.2011733040896373,-0.6470234688534078,-1.1929745394305027,-0.2030547107646281,-0.6529456894899904,-0.7792654146150569,0.34890236123103974,-1.716256773963319,0.0010446999033503614,0.02314676350436333
TG 52:1,PRED,-0.566309544166859,-0.5671187134788006,-1.2336505990526996,-1.4455696259646753,-1.9220757601483103,-1.7265679279476007,-0.294211610812167,-1.107929111653016,0.6355207278829226,-2.1553603815730105,0.0036440986050319296,0.032696500973048694
