Compound,TreatmentGroup.x,P1,P2,P3,P4,P5,P6,P7,P8,meanLog2FC.x,sdLog2FC.x,meanFC.x,p_value_tLOG.x,fdr_tLOG.x,TreatmentGroup.y,T1,T2,T3,T4,T5,T6,meanLog2FC.y,sdLog2FC.y,meanFC.y,p_value_tLOG.y,fdr_tLOG.y
LPC 22:6,PRED,0.9152225827647652,-0.608561342575307,0.013004139224079834,2.2894411427454298,2.5964528448870885,0.537045793536005,1.1306848903450297,1.4743526088241463,1.0434553324689047,1.0837399785022155,2.061158331756708,0.0296244679169881,0.11041847132695565,ACTH,-0.22666937384341265,-1.4565320537434028,0.24474923088884698,-0.636000290531438,0.2851740186554277,-0.10155032324332278,-0.31513813196955026,0.6531504604509835,-1.2441307678733287,0.29040478273521103,0.40271602467700535
LPC 24:0,PRED,0.47995231622531304,-0.5313864613174344,-0.9150875246176355,-0.4330033753767714,-0.04939383180164858,-0.49340889187711157,-0.3695295407908752,0.337210044189129,-0.24683090817087933,0.47000816113202104,-1.1865977136984514,0.1810242170175757,0.3650160441501936,ACTH,-0.41835207109039996,-1.0365619091164149,-0.47334586509503196,-1.7081669403955961,-0.9476358508385816,-0.9080485423180953,-0.9153518631423533,0.4662019545071052,-1.8860290049154695,0.00484344440092703,0.02410838837443253
LPC O-16:0,PRED,0.21611349723747694,0.23340455558974071,-0.21642760477382222,0.5415734492040659,1.0148699702044066,-0.7993557126435142,0.3680192375614941,0.49741429156922495,0.2319514604936341,0.5428369062460279,1.174422457079544,0.26606382769938164,0.45139104561412335,ACTH,-0.9921771957958162,-1.03066042359255,-0.19430838557709051,-1.7763294344416654,-1.0714441444991443,-0.6314015227040294,-0.949386851101716,0.525057441499904,-1.9310517817249737,0.006834027460094887,0.030093699868137133
LPC O-18:0,PRED,0.3946853438305448,0.3689091419712518,-0.18870647200374002,0.20942822921427806,0.5739290867060903,-0.6394101429252977,0.1997420128514353,0.32594830246653894,0.15556568776388768,0.38952616284380215,1.1138582818805298,0.29586446693189195,0.491774722062469,ACTH,-0.6097115233428358,-0.7163708040910509,0.10774738357523869,-1.1800140960872223,-0.4416484976856743,-0.9613562307514123,-0.6335589613971595,0.4471812806448064,-1.5513873696949,0.017841763891084855,0.04975869707402554
LPC O-18:1,PRED,-0.1387872821973576,0.23380684320298287,-0.3836361829862125,0.41582422354249693,0.9291416240500657,-0.7166232094538773,0.32888894079970077,0.517386437973091,0.14825017436636126,0.5306194204163892,1.1082245058182565,0.455322289230925,0.6494205697778845,ACTH,-0.5661641745417727,-0.7446399929977496,0.11018290768308509,-1.5906716060048733,-1.0284336989586453,-0.6755432192795745,-0.749211630683255,0.5592017760994464,-1.680874055834154,0.021911017242275566,0.05747626455805631
LPC O-20:0,PRED,0.12025979970437518,-0.12518825908738324,-0.40726289017010703,-0.5730825660297856,0.4572927795509333,-0.7930083131967225,-0.35468125317160615,-0.18960301802743415,-0.23315921505346626,0.39446933959171965,-1.1754060384443203,0.13848493283149402,0.321389561099505,ACTH,-1.1509081658669968,-1.461940926912297,-0.44748317811809996,-2.3204570723332174,-1.1546860781716715,-1.616635787066498,-1.3586852014114634,0.6192384754229956,-2.5645135631113845,0.0030037643680042,0.017533601310908236
LPC O-20:1,PRED,0.38408621054807074,0.30256763196931685,0.25524791638388594,0.5333414272200456,1.1802398971015948,-0.3881261492046007,0.43843177627154506,0.30502347572805893,0.37635152325223964,0.4283556731466607,1.2980550090554674,0.04189946422596732,0.14119545478887618,ACTH,-1.0700276290491604,-1.090055309751455,-0.1308319982368856,-2.027623396780717,-0.9387712209064282,-1.264458311626231,-1.0869613110584795,0.6087347916451186,-2.1242614056310702,0.007196162670852999,0.03114201431696729
LPE 16:0,PRED,1.1773467621846387,-0.19499613059777718,-0.01217993148174353,0.26917087317051847,0.8836172733890532,0.024321871742733904,0.17504995296574694,1.6869641842314196,0.5011618569505738,0.6703225479851709,1.415352940841174,0.07228999502329649,0.20921575030271689,ACTH,-0.6342439940619533,-0.27199671333851466,0.19295025941590754,-0.21365259899894945,-0.18651380295042921,0.743847216108856,-0.06160160563751386,0.4742261959106631,-1.043623695191524,0.7632037710442846,0.8214478841253471
LPE 18:0,PRED,1.5215889007444787,-0.2332968571122025,-0.09365526639810316,0.14202003346001282,0.3130584603300706,0.1570601718442534,0.19957857235018145,0.4894865323498493,0.31198006844606757,0.5374610775849724,1.241410340702565,0.1446315850197315,0.32641623775095363,ACTH,0.03693139743775529,0.28277096851085237,0.8191348127344069,-0.15790357446808068,0.3199590826520221,0.5116884010308039,0.30209684798296,0.3446338723822851,1.2329350895028757,0.0845483936293815,0.16842576826170444
LPE 18:1,PRED,1.2545990854432476,-1.08644818063698,-0.20172336001192112,-0.20191863987516448,0.34208674180096144,-0.19307644139033647,0.23267630485802976,0.8960035250153873,0.130274879400403,0.7281426511242733,1.094502218962431,0.6283688580813538,0.757738917098103,ACTH,0.01828008727805658,-0.25972339179938353,0.42965741206165575,0.13070712332617873,0.04111869698302978,0.7018951987206205,0.17698918776169295,0.3393749629503545,1.1305220944260976,0.25754373462474445,0.37163480622945955
LPE 18:2,PRED,0.7557102669847028,-0.5720523799432433,0.6083054787887053,-0.2759130957062256,-0.494510153386215,-0.9066922188408099,-0.43433231386081533,0.060406405355919006,-0.15738475132599775,0.5861826153185714,-1.1152636079380585,0.47240270564080333,0.6565596925855233,ACTH,0.27691419529818145,1.2292865134141382,1.5411814798710604,0.9846059400487214,0.8167510913547714,0.8844719745858034,0.955535199095446,0.4251126752970284,1.939298925548075,0.0027026114455739434,0.01654525543509902
LPE 20:4,PRED,0.47587645522321403,-0.6308719155841055,0.3839780184220006,-0.06865611716038299,0.15290902442671125,-0.4745027790850909,-0.12002919076635972,0.11137968074859997,-0.02123960297192666,0.38699355600364915,-1.0148310758571801,0.8810180697918006,0.9118689457799821,ACTH,0.1533106279715496,0.6868186466745819,0.8463898624031458,-0.05997906808036978,-0.04122657491186515,0.3266927474309993,0.3186677069146736,0.3779763026902563,1.2471782787319239,0.09381794142941512,0.18377797985021863
